 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   3    2   1280   3 128  20480    896 -8.72546058556705E-03 -1.17162555161358E-02  3.620682E+03
        1      1   3    2   1280   4  16  32000    112  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
        1      1   3    2   1280   4  32  32000    224 -8.70792178390731E-03 -1.16427387591103E-02  3.297944E+03
        1      1   3    2   1280   4  64  32000    448 -8.72524177335550E-03 -1.17065489065364E-02  5.421908E+03
        1      1   3    2   1280   4 128  32000    896 -8.72546333297641E-03 -1.17162609229485E-02  9.505682E+03
        1      2   1    0     80   1  16    320    112 -1.65145289430350E-01  6.16541991071973E-11  1.127952E+01
        1      2   1    0     80   1  32    320    224 -1.72088237159308E-01  4.64508813358133E-12  2.318464E+01
        1      2   1    0     80   1  64    320    448 -1.72371375739971E-01  2.93879330592883E-12  2.781126E+01
        1      2   1    0     80   1 128    320    896 -1.72364437650935E-01  5.27230125876854E-12  5.232779E+01
        1      2   1    0     80   2  16    720    112 -1.52542838963376E-01 -5.57983520499405E-11  3.532685E+01
        1      2   1    0     80   2  32    720    224 -1.73952337310686E-01  2.76990930192511E-12  6.819846E+01
        1      2   1    0     80   2  64    720    448 -1.75306258753829E-01  2.82454962197143E-12  1.130988E+02
        1      2   1    0     80   2 128    720    896 -1.75370951043217E-01  6.05362136286980E-12  1.445478E+02
        1      2   1    0     80   3  16   1280    112 -1.33530214310592E-01  1.97896896786398E-10  9.194630E+01
        1      2   1    0     80   3  32   1280    224 -1.74315505777607E-01 -1.51020819114112E-11  1.751729E+02
        1      2   1    0     80   3  64   1280    448 -1.77068822535225E-01  1.15438301279136E-12  1.932952E+02
        1      2   1    0     80   3 128   1280    896 -1.77226249394636E-01  1.47690835256009E-11  3.625438E+02
        1      2   1    0     80   4  16   2000    112 -1.07002957487385E-01  1.64899486426728E-09  2.449402E+02
        1      2   1    0     80   4  32   2000    224 -1.72464681630534E-01 -7.59275281536631E-12  4.706405E+02
        1      2   1    0     80   4  64   2000    448 -1.76980660912491E-01 -1.18819524531910E-11  7.160393E+02
        1      2   1    0     80   4 128   2000    896 -1.77252259379468E-01 -2.05585071536008E-12  9.475987E+02
        1      2   1    1    320   1  16   1280    112 -1.48434162709443E-01 -1.06141585104469E-10  3.827894E+01
        1      2   1    1    320   1  32   1280    224 -1.73578237110302E-01 -5.88573486823285E-11  7.329265E+01
        1      2   1    1    320   1  64   1280    448 -1.75196592649858E-01 -3.73346715955986E-11  1.416048E+02
        1      2   1    1    320   1 128   1280    896 -1.75278009220625E-01 -5.52303797314580E-12  1.653584E+02
        1      2   1    1    320   2  16   2880    112 -1.10771148852529E-01  3.03489112313260E-10  1.333255E+02
        1      2   1    1    320   2  32   2880    224 -1.72407396073074E-01  6.13586672790212E-11  2.496043E+02
        1      2   1    1    320   2  64   2880    448 -1.76648566294021E-01 -6.26653915390685E-12  4.021255E+02
        1      2   1    1    320   2 128   2880    896 -1.76902242253022E-01 -4.44647118603980E-12  5.363551E+02
        1      2   1    1    320   3  16   5120    112 -5.67821117429839E-02 -8.79761541394686E-13  3.846177E+02
        1      2   1    1    320   3  32   5120    224 -1.68905315443469E-01  1.81040564484203E-10  6.780219E+02
        1      2   1    1    320   3  64   5120    448 -1.76750200009882E-01  1.08323744939243E-11  1.146893E+03
        1      2   1    1    320   3 128   5120    896 -1.77236289335893E-01  3.24077071602036E-12  1.449392E+03
        1      2   1    1    320   4  16   8000    112  1.29379434230171E-02 -7.57921047797594E-09  1.087523E+03
        1      2   1    1    320   4  32   8000    224 -1.63961800434330E-01  6.08468290509701E-10  1.577269E+03
        1      2   1    1    320   4  64   8000    448 -1.76430559537841E-01  1.65730656195157E-12  3.234054E+03
        1      2   1    1    320   4 128   8000    896 -1.77214464381444E-01  1.12069585924725E-11  3.855930E+03
        1      2   1    2   1280   1  16   5120    112 -1.18802966324514E-01 -2.30749551931308E-09  1.754576E+02
        1      2   1    2   1280   1  32   5120    224 -1.72985726182926E-01  1.25381778527320E-09  3.037705E+02
        1      2   1    2   1280   1  64   5120    448 -1.76687820262925E-01 -3.53503141472741E-11  5.789539E+02
        1      2   1    2   1280   1 128   5120    896 -1.76905768359572E-01  5.69154369901154E-14  6.656920E+02
        1      2   1    2   1280   2  16  11520    112 -4.14913416170033E-02  7.28034857573612E-09  7.170178E+02
        1      2   1    2   1280   2  32  11520    224 -1.67765658319603E-01  1.09894764295515E-10  1.195932E+03
        1      2   1    2   1280   2  64  11520    448 -1.76621787523005E-01  1.01958010177011E-11  1.619669E+03
        1      2   1    2   1280   2 128  11520    896 -1.77172890315111E-01 -4.43068176006651E-12  2.464311E+03
        1      2   1    2   1280   3  16  20480    112  6.67994225290539E-02  3.21034271979744E-08  2.030749E+03
        1      2   1    2   1280   3  32  20480    224 -1.60145059508526E-01 -2.23740298640682E-09  2.653424E+03
        1      2   1    2   1280   3  64  20480    448 -1.76185623245168E-01  2.08572674864800E-10  4.962067E+03
        1      2   1    2   1280   3 128  20480    896 -1.77199592038541E-01 -9.90775900721035E-12  6.625858E+03
        1      2   1    2   1280   4  16  32000    112  2.05945831869486E-01 -2.05702494295891E-09  6.104755E+03
        1      2   1    2   1280   4  32  32000    224 -1.50279626179476E-01  2.01189774735877E-09  8.362817E+03
        1      2   1    2   1280   4  64  32000    448 -1.75550787483959E-01  3.33442180550786E-10  9.613887E+03
        1      2   1    2   1280   4 128  32000    896 -1.77159574800272E-01  9.32519442524080E-13  1.775663E+04
        1      2   2    0     80   1  16    320    112 -1.37196089708517E-01 -4.53907224307049E-11  1.099801E+01
        1      2   2    0     80   1  32    320    224 -1.37155253298755E-01  1.53408362402185E-12  2.268543E+01
        1      2   2    0     80   1  64    320    448 -1.37146387746142E-01 -2.09736160730611E-11  2.691365E+01
        1      2   2    0     80   1 128    320    896 -1.37146458168683E-01  8.81591674661841E-13  5.073699E+01
        1      2   2    0     80   2  16    720    112 -1.08172541233236E-01  9.20135356796692E-11  3.246515E+01
        1      2   2    0     80   2  32    720    224 -1.08139042111280E-01 -2.52908466738533E-11  6.263392E+01
        1      2   2    0     80   2  64    720    448 -1.08131994858123E-01  2.60828030181071E-11  1.114007E+02
        1      2   2    0     80   2 128    720    896 -1.08130908384403E-01 -7.69916725859576E-12  1.490258E+02
        1      2   2    0     80   3  16   1280    112 -1.14081885813350E-01  1.78851378151990E-11  8.064191E+01
        1      2   2    0     80   3  32   1280    224 -1.14188370438223E-01  6.19471574730968E-12  1.549623E+02
        1      2   2    0     80   3  64   1280    448 -1.14182901525561E-01 -1.71893879338802E-12  2.024608E+02
        1      2   2    0     80   3 128   1280    896 -1.14181719554646E-01  3.67836035068681E-12  3.150419E+02
        1      2   2    0     80   4  16   2000    112 -1.12341157367627E-01  2.45520617725425E-12  2.103365E+02
        1      2   2    0     80   4  32   2000    224 -1.12720951979732E-01 -4.41816375151838E-12  3.999440E+02
        1      2   2    0     80   4  64   2000    448 -1.12729659167177E-01  3.22447710893181E-12  5.929101E+02
        1      2   2    0     80   4 128   2000    896 -1.12728163060028E-01  1.57158400876378E-12  8.914330E+02
        1      2   2    1    320   1  16   1280    112 -1.36928590740266E-01 -1.39693544926045E-10  3.653606E+01
        1      2   2    1    320   1  32   1280    224 -1.36901043594192E-01 -5.93867012857463E-12  6.926363E+01
        1      2   2    1    320   1  64   1280    448 -1.36893649143607E-01 -9.97213379580475E-13  1.363348E+02
        1      2   2    1    320   1 128   1280    896 -1.36892659805032E-01 -4.04746006675560E-13  1.591258E+02
        1      2   2    1    320   2  16   2880    112 -1.12845822153950E-01  2.58070648184727E-11  1.174357E+02
        1      2   2    1    320   2  32   2880    224 -1.13172476071222E-01  2.87716031555085E-13  2.273737E+02
        1      2   2    1    320   2  64   2880    448 -1.13177518052261E-01 -1.49276966655842E-13  4.199041E+02
        1      2   2    1    320   2 128   2880    896 -1.13175966468313E-01 -1.29779596357710E-13  4.778592E+02
        1      2   2    1    320   3  16   5120    112 -1.11648617942897E-01 -2.55184068320702E-12  2.987271E+02
        1      2   2    1    320   3  32   5120    224 -1.12531510660033E-01 -5.00387925539414E-13  5.828762E+02
        1      2   2    1    320   3  64   5120    448 -1.12576730798069E-01 -2.28018884156078E-13  8.503055E+02
        1      2   2    1    320   3 128   5120    896 -1.12576899641867E-01 -3.07375219027462E-13  1.229362E+03
        1      2   2    1    320   4  16   8000    112 -1.10836773611225E-01  3.61506310997406E-12  7.836970E+02
        1      2   2    1    320   4  32   8000    224 -1.12394228984928E-01  3.52755151478146E-13  1.519507E+03
        1      2   2    1    320   4  64   8000    448 -1.12490197898703E-01  2.15805021422377E-14  2.369666E+03
        1      2   2    1    320   4 128   8000    896 -1.12493846666595E-01 -2.54039411035079E-15  3.189802E+03
        1      2   2    2   1280   1  16   5120    112 -1.17647176630011E-01 -1.30974200669015E-10  1.411649E+02
        1      2   2    2   1280   1  32   5120    224 -1.17876146979510E-01  1.53680779040044E-11  2.276449E+02
        1      2   2    2   1280   1  64   5120    448 -1.17875415776795E-01 -1.07648606825425E-12  5.176223E+02
        1      2   2    2   1280   1 128   5120    896 -1.17873867932021E-01  9.05524299207178E-14  6.054901E+02
        1      2   2    2   1280   2  16  11520    112 -1.11593877896265E-01 -3.22662903340376E-11  4.741344E+02
        1      2   2    2   1280   2  32  11520    224 -1.12620176173161E-01 -8.79991392255253E-13  9.143938E+02
        1      2   2    2   1280   2  64  11520    448 -1.12675750078977E-01 -1.73148604828977E-13  1.631239E+03
        1      2   2    2   1280   2 128  11520    896 -1.12676595431002E-01 -2.44324485231158E-13  1.954151E+03
        1      2   2    2   1280   3  16  20480    112 -1.10285730378063E-01 -8.65443671588251E-11  1.246028E+03
        1      2   2    2   1280   3  32  20480    224 -1.12355488896682E-01  1.48793416823723E-11  2.290682E+03
        1      2   2    2   1280   3  64  20480    448 -1.12488715642933E-01  1.12523076793713E-12  4.117375E+03
        1      2   2    2   1280   3 128  20480    896 -1.12494929284015E-01 -5.63148309993926E-13  5.105316E+03
        1      2   2    2   1280   4  16  32000    112 -1.08858163449789E-01 -2.45587819178161E-10  3.506451E+03
        1      2   2    2   1280   4  32  32000    224 -1.12248674871549E-01  6.36341907986337E-11  6.006526E+03
        1      2   2    2   1280   4  64  32000    448 -1.12477248024934E-01  1.70549772221529E-13  1.085818E+04
        1      2   2    2   1280   4 128  32000    896 -1.12489875762634E-01 -5.68173545050562E-12  1.398658E+04
        1      2   3    0     80   1  16    320    112 -4.52459314363125E-09 -1.69866551380515E-12  4.163820E+00
        1      2   3    0     80   1  32    320    224 -4.52339944245177E-09 -3.60980342839490E-13  8.982653E+00
        1      2   3    0     80   1  64    320    448 -4.52217174955223E-09 -1.65911034910593E-12  1.592714E+01
        1      2   3    0     80   1 128    320    896 -4.52153423371376E-09  1.18178036800920E-15  2.839526E+01
        1      2   3    0     80   2  16    720    112 -5.11550525645784E-10  3.97643723504260E-13  1.002889E+01
        1      2   3    0     80   2  32    720    224 -4.83820939656902E-10 -1.68607315609304E-13  1.756593E+01
        1      2   3    0     80   2  64    720    448 -4.72850810714582E-10 -1.31169988065727E-12  3.040409E+01
        1      2   3    0     80   2 128    720    896 -4.71061872073929E-10 -5.11675337516726E-13  5.169652E+01
