 Quad/Tri Motion iRe Mesh #elems   p  Nt   sdof   tdof                     W                     I           CPU
        1      1   3    2   1280   4  16  32000    112  0.00000000000000E+00  0.00000000000000E+00  0.000000E+00
        1      1   3    2   1280   4  32  32000    224 -8.70792178390731E-03 -1.16427387591103E-02  3.279497E+03
        1      1   3    2   1280   4  64  32000    448 -8.72524177335550E-03 -1.17065489065364E-02  5.232461E+03
        1      1   3    2   1280   4 128  32000    896 -8.72546333297641E-03 -1.17162609229485E-02  1.010197E+04
        1      2   1    0     80   1  16    320    112 -1.65071984034407E-01  8.46424839939797E-11  1.111040E+01
        1      2   1    0     80   1  32    320    224 -1.72023598646933E-01  4.33471140925956E-12  1.583981E+01
        1      2   1    0     80   1  64    320    448 -1.72306633164303E-01  3.57703883874239E-12  2.749929E+01
        1      2   1    0     80   1 128    320    896 -1.72299750894839E-01  1.09491023018993E-11  5.228921E+01
        1      2   1    0     80   2  16    720    112 -1.52318532867986E-01 -9.16990858246258E-11  3.534445E+01
        1      2   1    0     80   2  32    720    224 -1.73747472809749E-01  2.84256299054597E-12  6.811198E+01
        1      2   1    0     80   2  64    720    448 -1.75099791029187E-01  2.55844781124615E-12  1.055163E+02
        1      2   1    0     80   2 128    720    896 -1.75164336342471E-01  6.31049726362853E-12  1.446217E+02
        1      2   1    0     80   3  16   1280    112 -1.33357349093763E-01  1.68100859621045E-10  9.234220E+01
        1      2   1    0     80   3  32   1280    224 -1.74175555576272E-01 -1.47603821526454E-11  1.747322E+02
        1      2   1    0     80   3  64   1280    448 -1.76925118754854E-01  1.39452772246473E-12  3.379443E+02
        1      2   1    0     80   3 128   1280    896 -1.77082161018320E-01  1.46220884792575E-11  3.660422E+02
        1      2   1    0     80   4  16   2000    112 -1.06816603249418E-01  1.45745590596214E-09  2.446153E+02
        1      2   1    0     80   4  32   2000    224 -1.72329201926883E-01 -4.70340780212020E-12  4.414510E+02
        1      2   1    0     80   4  64   2000    448 -1.76838636370676E-01 -4.89344675891346E-13  6.958614E+02
        1      2   1    0     80   4 128   2000    896 -1.77109527260183E-01 -2.74425339223672E-12  9.460662E+02
        1      2   1    1    320   1  16   1280    112 -1.48272392593165E-01  1.41576160864187E-09  3.823945E+01
        1      2   1    1    320   1  32   1280    224 -1.73443783391217E-01 -5.13032602511565E-11  7.295035E+01
        1      2   1    1    320   1  64   1280    448 -1.75060325703699E-01 -3.31020133179094E-11  1.414478E+02
        1      2   1    1    320   1 128   1280    896 -1.75141548462854E-01  1.34752463094162E-12  1.635363E+02
        1      2   1    1    320   2  16   2880    112 -1.10573084934046E-01  3.82726628167518E-11  1.330302E+02
        1      2   1    1    320   2  32   2880    224 -1.72260506168100E-01  5.07548118117152E-11  2.497603E+02
        1      2   1    1    320   2  64   2880    448 -1.76495783067892E-01 -5.45831901812427E-12  4.844376E+02
        1      2   1    1    320   2 128   2880    896 -1.76748810227199E-01  4.91015415176113E-12  5.355113E+02
        1      2   1    1    320   3  16   5120    112 -5.65628546309254E-02 -8.28662069518593E-10  3.864937E+02
        1      2   1    1    320   3  32   5120    224 -1.68775380683562E-01  1.55339860766213E-10  5.519086E+02
        1      2   1    1    320   3  64   5120    448 -1.76608792469941E-01  9.57596057570703E-12  1.080983E+03
        1      2   1    1    320   3 128   5120    896 -1.77093586059442E-01  5.35900674964590E-12  1.457270E+03
        1      2   1    1    320   4  16   8000    112  1.31998648043436E-02  8.94459618872023E-09  1.092072E+03
        1      2   1    1    320   4  32   8000    224 -1.63839725951996E-01  4.39855353528973E-10  1.708036E+03
        1      2   1    1    320   4  64   8000    448 -1.76290089464695E-01  2.78675184057359E-12  3.208752E+03
        1      2   1    1    320   4 128   8000    896 -1.77071883527973E-01  9.71651735849968E-12  3.861348E+03
        1      2   1    2   1280   1  16   5120    112 -1.18613152263106E-01 -1.38376260103157E-09  1.718503E+02
        1      2   1    2   1280   1  32   5120    224 -1.72846683466985E-01  1.54714183261614E-09  3.033449E+02
        1      2   1    2   1280   1  64   5120    448 -1.76544009217997E-01 -6.38851510212889E-11  5.185747E+02
        1      2   1    2   1280   1 128   5120    896 -1.76761410896273E-01 -7.63199724772290E-14  6.598606E+02
        1      2   1    2   1280   2  16  11520    112 -4.12600377026327E-02  1.00154794750642E-08  7.165675E+02
        1      2   1    2   1280   2  32  11520    224 -1.67635540266269E-01  7.66658195261449E-11  1.133999E+03
        1      2   1    2   1280   2  64  11520    448 -1.76478883113071E-01 -3.09303126730734E-11  1.425257E+03
        1      2   1    2   1280   2 128  11520    896 -1.77028523718178E-01 -3.74542646788649E-12  2.475185E+03
        1      2   1    2   1280   3  16  20480    112  6.70843485695269E-02  2.34482437930315E-08  2.052001E+03
        1      2   1    2   1280   3  32  20480    224 -1.60029240526323E-01 -2.57302664591341E-09  2.971832E+03
        1      2   1    2   1280   3  64  20480    448 -1.76045838388522E-01  1.56697079682459E-10  3.613402E+03
        1      2   1    2   1280   3 128  20480    896 -1.77057070304034E-01 -8.24612872831008E-12  6.660861E+03
        1      2   1    2   1280   4  16  32000    112  2.06330711446910E-01 -6.19443172060127E-09  5.864508E+03
        1      2   1    2   1280   4  32  32000    224 -1.50182127882760E-01  3.12950792190347E-09  8.062861E+03
        1      2   1    2   1280   4  64  32000    448 -1.75412755239202E-01  2.35504892930755E-10  1.032669E+04
        1      2   1    2   1280   4 128  32000    896 -1.77017192193065E-01  8.76749433958383E-12  2.128757E+04
        1      2   2    0     80   1  16    320    112 -1.37766578530156E-01 -5.02493255338798E-11  1.083026E+01
        1      2   2    0     80   1  32    320    224 -1.37725650016433E-01  8.19134690632772E-13  2.271756E+01
        1      2   2    0     80   1  64    320    448 -1.37716741419753E-01 -1.78988074361897E-11  2.672575E+01
        1      2   2    0     80   1 128    320    896 -1.37716821283663E-01  1.08246831637127E-12  8.026440E+01
        1      2   2    0     80   2  16    720    112 -1.08491458565631E-01  9.27600982136845E-11  3.228181E+01
        1      2   2    0     80   2  32    720    224 -1.08458147213380E-01 -2.45743798574227E-11  6.241660E+01
        1      2   2    0     80   2  64    720    448 -1.08451126066619E-01  2.73489716116904E-11  1.170380E+02
        1      2   2    0     80   2 128    720    896 -1.08450030559390E-01 -5.48985227936949E-12  2.011160E+02
        1      2   2    0     80   3  16   1280    112 -1.14615175382277E-01 -5.46383840949183E-11  8.063869E+01
        1      2   2    0     80   3  32   1280    224 -1.14719915126097E-01  6.27228737698493E-12  1.549849E+02
        1      2   2    0     80   3  64   1280    448 -1.14714429200725E-01 -1.52303070329041E-11  2.667370E+02
        1      2   2    0     80   3 128   1280    896 -1.14713253029913E-01  3.15589047950038E-12  5.503243E+02
        1      2   2    0     80   4  16   2000    112 -1.12895831948713E-01  3.38245403908033E-12  2.094224E+02
        1      2   2    0     80   4  32   2000    224 -1.13272979559375E-01 -4.41422853131312E-12  3.987276E+02
        1      2   2    0     80   4  64   2000    448 -1.13281454514416E-01  1.55172142496385E-12  5.930516E+02
        1      2   2    0     80   4 128   2000    896 -1.13279955789180E-01  1.61987805981367E-12  8.270063E+02
        1      2   2    1    320   1  16   1280    112 -1.37452349975912E-01 -8.93537882573625E-11  3.597147E+01
        1      2   2    1    320   1  32   1280    224 -1.37424278950739E-01 -4.76467736792996E-12  6.914619E+01
